offset,8bit,short,24bit,32bit, fixed_8.8, fixed_10.6, fixed_12.4, fixed_16.8, fixed_18.6, fixed_20.4, fixed_16.16,fixed_24.8,fixed_26.6,fixed_28.4, float32
0, 0, 57344, 3858432, 54190080, 224.0, 896.0, 3584.0, 15072.0, 60288.0, 241152.0, 826.875, 211680.0, 846720.0, 3386880.0, 5.4917626702478745e-37
1, 224, 15072, 211680, 2835561184, 58.875, 235.5, 942.0, 826.875, 3307.5, 13230.0, 43267.22998046875, 11076410.875, 44305643.5, 177222574.0, -2.913890916750317e-14
2, 58, 826, 11076410, 3517514554, 3.2265625, 12.90625, 51.625, 43267.2265625, 173068.90625, 692275.625, 53673.012603759766, 13740291.2265625, 54961164.90625, 219844659.625, -90737950720.0
3, 3, 43267, 13740291, 2765203715, 169.01171875, 676.046875, 2704.1875, 53673.01171875, 214692.046875, 858768.1875, 42193.66020202637, 10801577.01171875, 43206308.046875, 172825232.1875, -9.092561860829483e-17
4, 169, 53673, 10801577, 0, 209.66015625, 838.640625, 3354.5625, 42193.66015625, 168774.640625, 675098.5625, 0, 0, 0, 0, 0
5, 209, 42193, 0, 0, 164.81640625, 659.265625, 2637.0625, 0, 0, 0, 0, 0, 0, 0, 0
6, 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
